rfam_family	seq_count	noncanonical_count	canonical_count
RF00635	101	0	101
RF00636	117	0	117
RF00637	168	0	168
RF00638	1240	2	1238
RF00639	574	1	573
RF00640	6	0	6
RF00641	759	1	758
RF00642	236	1	235
RF00643	1334	2	1332
RF00644	307	0	307
RF00645	1867	5	1862
RF00646	327	0	327
RF00647	70	0	70
RF00648	226	0	226
RF00649	274	0	274
RF00650	317	0	317
RF00651	361	0	361
RF00652	540	1	539
RF00653	176	0	176
RF00654	329	0	329
RF00655	106	0	106
RF00656	221	1	220
RF00657	225	0	225
RF00658	162	0	162
RF00659	261	0	261
RF00660	264	0	264
RF00661	198	0	198
RF00662	196	0	196
RF00663	149	0	149
RF00664	134	0	134
RF00665	304	0	304
RF00666	117	0	117
RF00667	300	0	300
RF00668	431	0	431
RF00669	133	0	133
RF00670	89	0	89
RF00671	256	0	256
RF00672	491	0	491
RF00673	141	0	141
RF00674	132	0	132
RF00675	126	0	126
RF00676	57	0	57
RF00677	181	0	181
RF00678	127	0	127
RF00679	186	1	185
RF00680	50	0	50
RF00681	19	0	19
RF00682	110	0	110
RF00683	137	0	137
RF00684	146	0	146
RF00685	117	0	117
RF00686	194	0	194
RF00687	53	0	53
RF00688	232	1	231
RF00689	225	1	224
RF00690	107	0	107
RF00691	291	1	290
RF00692	115	0	115
RF00693	173	0	173
RF00694	288	0	288
RF00695	219	0	219
RF00696	154	0	154
RF00697	56	0	56
RF00698	123	0	123
RF00699	46	0	46
RF00700	204	0	204
RF00701	262	0	262
RF00702	119	0	119
RF00703	110	0	110
RF00704	183	0	183
RF00705	127	0	127
RF00706	232	0	232
RF00707	38	0	38
RF00708	131	0	131
RF00709	150	0	150
RF00710	61	0	61
RF00711	120	0	120
RF00712	165	1	164
RF00713	43	0	43
RF00714	153	0	153
RF00715	119	1	118
RF00716	95	0	95
RF00717	98	0	98
RF00718	44	0	44
RF00719	48	0	48
RF00720	106	0	106
RF00721	14	0	14
RF00722	121	0	121
RF00723	43	0	43
RF00724	103	0	103
RF00725	90	0	90
RF00726	250	0	250
RF00727	118	0	118
RF00728	65	0	65
RF00729	93	0	93
RF00730	104	0	104
RF00731	132	0	132
RF00732	103	0	103
RF00733	45	0	45
RF00734	14	0	14
RF00735	111	0	111
RF00736	214	0	214
RF00737	48	0	48
RF00739	6	0	6
RF00740	48	0	48
RF00741	44	0	44
RF00742	227	0	227
RF00743	58	0	58
RF00744	49	0	49
RF00745	144	0	144
RF00746	127	0	127
RF00747	69	0	69
RF00748	50	0	50
RF00749	165	0	165
RF00750	158	0	158
RF00751	79	0	79
RF00752	102	0	102
RF00753	46	0	46
RF00754	209	0	209
RF00755	45	0	45
RF00756	83	0	83
RF00757	102	0	102
RF00758	45	0	45
RF00760	50	0	50
RF00761	51	0	51
RF00762	44	0	44
RF00763	43	0	43
RF00764	127	0	127
RF00765	38	0	38
RF00766	51	0	51
RF00767	69	0	69
RF00768	8	0	8
RF00769	53	0	53
RF00770	46	0	46
RF00771	49	0	49
RF00772	48	0	48
RF00773	19	0	19
RF00774	10	0	10
RF00775	46	0	46
RF00776	8	0	8
RF00777	39	0	39
RF00778	54	0	54
RF00779	45	0	45
RF00780	16	0	16
RF00781	49	0	49
RF00782	1200	0	1200
RF00783	44	0	44
RF00784	72	0	72
RF00785	12	0	12
RF00786	15	0	15
RF00787	24	0	24
RF00788	23	0	23
RF00789	79	0	79
RF00790	5	0	5
RF00791	13	0	13
RF00792	113	0	113
RF00793	91	0	91
RF00794	10	0	10
RF00795	11	0	11
RF00796	11	0	11
RF00797	11	0	11
RF00798	10	0	10
RF00799	8	0	8
RF00801	22	0	22
RF00802	6	0	6
RF00803	88	0	88
RF00804	6	0	6
RF00805	3	0	3
RF00806	41	0	41
RF00807	25	0	25
RF00808	47	0	47
RF00809	11	0	11
RF00810	10	0	10
RF00811	37	0	37
RF00812	53	0	53
RF00813	88	0	88
RF00814	31	0	31
RF00815	10	0	10
RF00816	12	0	12
RF00817	10	0	10
RF00818	27	0	27
RF00819	12	0	12
RF00820	6	0	6
RF00821	6	0	6
RF00822	37	0	37
RF00823	6	0	6
RF00824	50	0	50
RF00825	191	5	186
RF00826	9	0	9
RF00827	12	0	12
RF00828	10	0	10
RF00829	48	1	47
RF00830	18	0	18
RF00831	11	0	11
RF00832	185	0	185
RF00833	4	0	4
RF00834	11	0	11
RF00835	12	0	12
RF00836	19	0	19
RF00837	13	0	13
RF00838	247	0	247
RF00839	46	0	46
RF00840	69	0	69
RF00841	38	0	38
RF00842	69	0	69
RF00843	28	0	28
RF00844	135	0	135
RF00845	19	0	19
RF00846	31	0	31
RF00847	10	0	10
RF00848	9	0	9
RF00849	15	0	15
RF00850	9	0	9
RF00851	6	0	6
RF00852	10	0	10
RF00853	19	0	19
RF00854	27	0	27
RF00855	9	0	9
RF00856	13	0	13
RF00857	10	0	10
RF00858	29	0	29
RF00859	39	0	39
RF00861	44	0	44
RF00862	46	0	46
RF00863	5	0	5
RF00864	5	0	5
RF00865	912	1	911
RF00866	10	0	10
RF00867	6	0	6
RF00868	6	0	6
RF00869	5	0	5
RF00870	51	0	51
RF00872	48	0	48
RF00873	35	0	35
RF00874	6	0	6
RF00875	28	0	28
RF00876	29	0	29
RF00877	50	0	50
RF00878	78	0	78
RF00879	41	0	41
RF00883	29	0	29
RF00884	14	0	14
RF00885	887	31	856
RF00886	1667	11	1656
RF00887	46	0	46
RF00888	26	0	26
RF00890	27	0	27
RF00891	52	0	52
RF00892	212	0	212
RF00893	170	0	170
RF00894	14	0	14
RF00895	5	0	5
RF00896	5	0	5
RF00897	32	0	32
RF00898	10	0	10
RF00899	8	0	8
RF00900	23	0	23
RF00901	9	0	9
RF00902	6	0	6
RF00903	6	0	6
RF00904	5	0	5
RF00905	5	0	5
RF00906	100466	1506	98960
RF00907	8	0	8
RF00908	35	0	35
RF00909	9	0	9
RF00910	51	0	51
RF00911	16	0	16
RF00912	44	0	44
RF00914	7	0	7
RF00915	30	0	30
RF00917	48	0	48
RF00918	20	0	20
RF00919	50	0	50
RF00920	19	0	19
RF00921	42	1	41
RF00922	8	0	8
RF00925	5	0	5
RF00926	4	0	4
RF00927	49	0	49
RF00928	37	0	37
RF00929	2144	0	2144
RF00931	6	0	6
RF00932	4	0	4
RF00933	67	0	67
RF00934	4	0	4
RF00935	47	0	47
RF00936	44	0	44
RF00937	42	0	42
RF00939	50	0	50
RF00940	5	0	5
RF00941	5	0	5
RF00942	25	0	25
RF00943	30	0	30
RF00945	13	0	13
RF00946	38	0	38
RF00947	94	0	94
RF00948	59	0	59
RF00949	7	0	7
RF00950	110	0	110
RF00951	3596	1	3595
RF00952	55	0	55
RF00953	3	0	3
RF00954	19	0	19
RF00955	10	0	10
RF00956	8	0	8
RF00957	48	2	46
RF00958	14	0	14
RF00959	12	0	12
RF00960	10	0	10
RF00961	13	0	13
RF00962	13	0	13
RF00963	12	0	12
RF00964	13	0	13
RF00965	13	0	13
RF00966	42	0	42
RF00967	5	0	5
RF00968	12	0	12
RF00969	13	0	13
RF00970	12	0	12
RF00971	10	0	10
RF00972	13	0	13
RF00973	13	0	13
RF00974	8	0	8
RF00975	88	0	88
RF00976	12	0	12
RF00977	13	0	13
RF00978	12	0	12
RF00979	12	0	12
RF00980	11	0	11
RF00981	14	0	14
RF00983	9	0	9
RF00984	12	0	12
RF00985	12	0	12
RF00986	12	0	12
RF00987	18	0	18
RF00988	11	0	11
RF00989	53	0	53
RF00990	10	0	10
RF00991	43	1	42
RF00992	11	0	11
RF00993	5	0	5
RF00994	35	0	35
RF00995	12	0	12
RF00996	29	0	29
RF00997	12	0	12
RF00998	13	0	13
RF00999	12	0	12
RF01000	12	0	12
RF01001	13	0	13
RF01002	12	0	12
RF01003	14	0	14
RF01004	10	0	10
RF01005	32	0	32
RF01006	10	0	10
RF01007	13	0	13
RF01008	11	0	11
RF01009	10	0	10
RF01010	44	0	44
RF01011	10	0	10
RF01012	45	0	45
RF01013	13	0	13
RF01014	132	0	132
RF01015	39	0	39
RF01016	25	0	25
RF01018	14	0	14
RF01019	10	0	10
RF01020	14	0	14
RF01021	12	0	12
RF01022	11	0	11
RF01023	14	0	14
RF01024	12	0	12
RF01025	13	0	13
RF01026	86	0	86
RF01027	12	0	12
RF01028	11	0	11
RF01029	10	0	10
RF01030	12	0	12
RF01031	12	0	12
RF01032	12	0	12
RF01033	33	0	33
RF01034	12	0	12
RF01035	14	0	14
RF01036	11	0	11
RF01037	8	0	8
RF01038	33	0	33
RF01039	13	0	13
RF01040	11	0	11
RF01041	15	0	15
RF01042	22	0	22
RF01043	8	0	8
RF01044	48	0	48
RF01045	2440	0	2440
RF01046	19	0	19
RF01047	36	0	36
RF01050	22	8	14
RF01051	4213	9	4204
RF01052	121	1	120
RF01053	3	0	3
RF01054	72	0	72
RF01055	1390	8	1382
RF01056	42	0	42
RF01057	861	2	859
RF01059	39	0	39
RF01061	962	0	962
RF01064	9	0	9
RF01065	209	0	209
RF01066	412	0	412
RF01067	105	0	105
RF01068	1001	1	1000
RF01069	101	0	101
RF01070	284	0	284
RF01071	294	1	293
RF01072	40	0	40
RF01073	765	1	764
RF01074	12	0	12
RF01075	3	0	3
RF01076	4	0	4
RF01077	6	0	6
RF01078	4	0	4
RF01079	3	0	3
RF01080	6	0	6
RF01081	6	0	6
RF01082	5	0	5
RF01083	11	0	11
RF01084	17	0	17
RF01085	2	0	2
RF01087	6	0	6
RF01088	3	0	3
RF01089	45	0	45
RF01090	44	0	44
RF01091	8	0	8
RF01092	2	0	2
RF01093	115	0	115
RF01094	3	0	3
RF01095	4	0	4
RF01096	3	0	3
RF01097	887	0	887
RF01098	6	0	6
RF01099	32	0	32
RF01100	3	0	3
RF01101	7	0	7
RF01102	3	0	3
RF01103	4	0	4
RF01104	4	0	4
RF01105	3	0	3
RF01106	3	0	3
RF01107	4	0	4
RF01108	3	0	3
RF01109	4	0	4
RF01111	5	0	5
RF01113	4	0	4
RF01114	4	0	4
RF01116	157	0	157
RF01117	9	0	9
RF01119	6	0	6
RF01120	12	0	12
RF01121	6	0	6
RF01122	15	0	15
RF01123	4	0	4
RF01124	15	0	15
RF01125	4	0	4
RF01126	23	0	23
RF01127	5	0	5
RF01128	17	0	17
RF01129	4	0	4
RF01130	17	0	17
RF01131	17	0	17
RF01132	4	0	4
RF01133	73	0	73
RF01134	10	0	10
RF01135	7	0	7
RF01136	18	0	18
RF01137	4	0	4
RF01138	16	0	16
RF01139	23	0	23
RF01140	15	0	15
RF01141	8	0	8
RF01142	5	0	5
RF01143	3	0	3
RF01144	12	0	12
RF01145	22	0	22
RF01146	4	0	4
RF01147	10	0	10
RF01149	7	0	7
RF01150	14	0	14
RF01151	56	0	56
RF01152	34	0	34
RF01153	15	0	15
RF01155	194	0	194
RF01156	104	0	104
RF01157	12	0	12
RF01158	19	0	19
RF01159	107	0	107
RF01160	16	0	16
RF01161	137	0	137
RF01162	27	0	27
RF01163	113	0	113
RF01164	53	1	52
RF01165	10	0	10
RF01166	16	0	16
RF01167	10	0	10
RF01168	51	0	51
RF01169	64	0	64
RF01170	138	0	138
RF01171	3	0	3
RF01172	9	0	9
RF01173	47	0	47
RF01174	62	0	62
RF01175	20	0	20
RF01176	45	0	45
RF01177	80	0	80
RF01178	238	1	237
RF01179	111	0	111
RF01180	27	0	27
RF01181	83	1	82
RF01182	128	0	128
RF01183	60	0	60
RF01184	80	0	80
RF01185	520	1	519
RF01186	108	0	108
RF01188	110	0	110
RF01189	10	0	10
RF01190	14	0	14
RF01191	221	0	221
RF01192	146	1	145
RF01193	150	0	150
RF01194	26	0	26
RF01195	38	1	37
RF01196	21	0	21
RF01197	47	0	47
RF01198	289	0	289
RF01199	12	0	12
RF01200	99	1	98
RF01201	76	0	76
RF01202	13	0	13
RF01203	84	0	84
RF01204	35	1	34
RF01205	12	3	9
RF01206	200	0	200
RF01207	249	0	249
RF01208	260	0	260
RF01209	84	2	82
RF01210	5479	8	5471
RF01211	69	0	69
RF01212	48	0	48
RF01213	306	0	306
RF01214	144	4	140
RF01215	270	0	270
RF01216	44	0	44
RF01218	81	1	80
RF01219	235	1	234
RF01220	228	2	226
RF01221	18	0	18
RF01222	10	0	10
RF01223	55	2	53
RF01224	257	0	257
RF01225	254	0	254
RF01226	17	0	17
RF01227	308	0	308
RF01228	169	0	169
RF01229	167	0	167
RF01230	231	0	231
RF01231	466	0	466
RF01232	28	0	28
RF01233	348	1	347
RF01234	138	0	138
RF01235	14	2	12
RF01236	121	0	121
RF01237	40	1	39
RF01238	36	3	33
RF01239	55	1	54
RF01240	34	2	32
RF01241	254	1	253
RF01242	313	2	311
RF01243	19	1	18
RF01244	40	0	40
RF01245	16	2	14
RF01246	12	2	10
RF01247	106	2	104
RF01248	75	1	74
RF01249	52	4	48
RF01250	30	0	30
RF01251	61	1	60
RF01252	69	3	66
RF01253	61	0	61
RF01254	46	1	45
RF01255	70	5	65
RF01256	86	1	85
RF01257	45	3	42
RF01258	80	2	78
RF01259	35	2	33
RF01260	37	1	36
RF01261	35	5	30
RF01262	257	1	256
RF01263	245	5	240
RF01264	22	2	20
RF01265	44	0	44
RF01266	39	0	39
RF01267	59	2	57
RF01268	103	1	102
RF01269	204	1	203
RF01270	15	1	14
RF01271	35	4	31
RF01272	14	1	13
RF01273	16	0	16
RF01274	18	0	18
RF01275	17	0	17
RF01276	5	0	5
RF01277	155	0	155
